line_number,speaker,text,act,scene,scene_id,act_scene,neg,neu,pos,compound,vader_label,rolling_compound,rolling_intensity,rolling_volatility,weighted_compound,rolling_weighted,is_pos,is_neg,roll_pos_minus_neg,diff_vs_play_w21,diff_vs_play_w11,volatility
55,Captain,So they doubly redoubled strokes upon the foe.,1,2,2,"Act 1, Scene 2",0.293,0.707,0.0,-0.4404,neg,-0.10116000000000003,0.17984,0.24634197368698643,-0.19395216,-0.03968310400000001,0,1,-0.30000000000000004,-0.0894314285714286,-0.032760000000000025,
56,Captain,Except they meant to bathe in reeking wounds,1,2,2,"Act 1, Scene 2",0.3,0.7,0.0,-0.4588,neg,-0.11240000000000003,0.17984,0.24634197368698643,-0.21049743999999998,-0.044092337777777796,0,1,-0.3333333333333333,-0.12005238095238098,-0.12893636363636365,
57,Captain,"Or memorize another Golgotha,",1,2,2,"Act 1, Scene 2",0.0,1.0,0.0,0.0,neu,-0.08130000000000004,0.21046,0.22716852334775586,0.0,-0.03329570000000001,0,0,-0.25,-0.09401428571428576,-0.09783636363636368,
58,Captain,I cannot tell—,1,2,2,"Act 1, Scene 2",0.0,1.0,0.0,0.0,neu,-0.15032857142857145,0.152975,0.21628041019318694,0.0,-0.06112703000000002,0,0,-0.42857142857142855,-0.18401428571428574,-0.17036493506493508,
59,Captain,But I am faint. My gashes cry for help.,1,2,2,"Act 1, Scene 2",0.282,0.476,0.241,-0.1531,neg,-0.17538333333333336,0.05103333333333334,0.08839232621293067,-0.023439610000000003,-0.07131486833333335,0,1,-0.5,-0.23882619047619053,-0.195419696969697,
60,Duncan,So well thy words become thee as thy wounds:,1,2,2,"Act 1, Scene 2",0.0,0.77,0.23,0.3384,pos,0.14229999999999998,0.25454,0.3611394495205419,0.11451455999999999,0.08609910999999999,1,0,0.2727272727272727,0.06165714285714284,0.12226363636363634,
61,Duncan,"They smack of honor both.—Go, get him surgeons.",1,2,2,"Act 1, Scene 2",0.0,0.686,0.314,0.4939,pos,0.1840090909090909,0.25454,0.23898267301208267,0.24393721000000002,0.10523524090909091,1,0,0.3636363636363636,0.06724242424242423,0.14232727272727272,
62,Duncan,Who comes here?,1,2,2,"Act 1, Scene 2",0.0,1.0,0.0,0.0,neu,0.12951818181818178,0.4225,0.30213271918148826,0.0,0.07257338999999999,0,0,0.2727272727272727,0.03545151515151511,-0.012836363636363674,
63,Malcolm,The worthy Thane of Ross.,1,2,2,"Act 1, Scene 2",0.0,0.58,0.42,0.4404,pos,0.14471818181818183,0.0984,0.2039495231668856,0.19395216,0.09439423363636364,1,0,0.18181818181818182,0.0697896103896104,-0.03767272727272725,
64,Lennox,What a haste looks through his eyes!,1,2,2,"Act 1, Scene 2",0.0,1.0,0.0,0.0,neu,0.08455,0.06743333333333333,0.1167979594570613,0.0,0.077101145,0,0,0.0,0.04500238095238094,-0.15464999999999995,
65,Lennox,So should he look that seems to speak things,1,2,2,"Act 1, Scene 2",0.0,1.0,0.0,0.0,neu,0.07247142857142856,0.227975,0.40004963337899296,0.0,0.06608669571428571,0,0,0.0,0.03292380952380951,-0.18064675324675322,
66,Lennox,strange.,1,2,2,"Act 1, Scene 2",1.0,0.0,0.0,-0.2023,neg,0.0060624999999999984,0.18238000000000001,0.3510650908307461,-0.04092529,0.03151367875,0,1,-0.125,-0.0448232142857143,-0.24521931818181816,
